customer_id,name,city,email,signup_date
C0001,Customer 1,Mumbai,customer1@example.com,2025-01-01
C0002,Customer 2,Delhi,customer2@example.com,2025-01-02
C0003,Customer 3,Pune,customer3@example.com,2025-01-03
C0004,Customer 4,Pune,customer4@example.com,2025-01-04
C0005,Customer 5,Bangalore,customer5@example.com,2025-01-05
C0006,Customer 6,Delhi,customer6@example.com,2025-01-06
C0007,Customer 7,Pune,customer7@example.com,2025-01-07
C0008,Customer 8,Bangalore,customer8@example.com,2025-01-08
C0009,Customer 9,Bangalore,customer9@example.com,2025-01-09
C0010,Customer 10,Mumbai,customer10@example.com,2025-01-10
C0011,Customer 11,Mumbai,customer11@example.com,2025-01-11
C0012,Customer 12,Mumbai,customer12@example.com,2025-01-12
C0013,Customer 13,Bangalore,customer13@example.com,2025-01-13
C0014,Customer 14,Chennai,customer14@example.com,2025-01-14
C0015,Customer 15,Bangalore,customer15@example.com,2025-01-15
C0016,Customer 16,Mumbai,customer16@example.com,2025-01-16
C0017,Customer 17,Mumbai,customer17@example.com,2025-01-17
C0018,Customer 18,Pune,customer18@example.com,2025-01-18
C0019,Customer 19,Mumbai,customer19@example.com,2025-01-19
C0020,Customer 20,Chennai,customer20@example.com,2025-01-20
C0021,Customer 21,Mumbai,customer21@example.com,2025-01-21
C0022,Customer 22,Mumbai,customer22@example.com,2025-01-22
C0023,Customer 23,Chennai,customer23@example.com,2025-01-23
C0024,Customer 24,Mumbai,customer24@example.com,2025-01-24
C0025,Customer 25,Mumbai,customer25@example.com,2025-01-25
C0026,Customer 26,Delhi,customer26@example.com,2025-01-26
C0027,Customer 27,Bangalore,customer27@example.com,2025-01-27
C0028,Customer 28,Pune,customer28@example.com,2025-01-28
C0029,Customer 29,Delhi,customer29@example.com,2025-01-29
C0030,Customer 30,Bangalore,customer30@example.com,2025-01-30
C0031,Customer 31,Pune,customer31@example.com,2025-01-31
C0032,Customer 32,Pune,customer32@example.com,2025-02-01
C0033,Customer 33,Chennai,customer33@example.com,2025-02-02
C0034,Customer 34,Delhi,customer34@example.com,2025-02-03
C0035,Customer 35,Pune,customer35@example.com,2025-02-04
C0036,Customer 36,Delhi,customer36@example.com,2025-02-05
C0037,Customer 37,Pune,customer37@example.com,2025-02-06
C0038,Customer 38,Delhi,customer38@example.com,2025-02-07
C0039,Customer 39,Chennai,customer39@example.com,2025-02-08
C0040,Customer 40,Mumbai,customer40@example.com,2025-02-09
C0041,Customer 41,Pune,customer41@example.com,2025-02-10
C0042,Customer 42,Chennai,customer42@example.com,2025-02-11
C0043,Customer 43,Delhi,customer43@example.com,2025-02-12
C0044,Customer 44,Chennai,customer44@example.com,2025-02-13
C0045,Customer 45,Bangalore,customer45@example.com,2025-02-14
C0046,Customer 46,Mumbai,customer46@example.com,2025-02-15
C0047,Customer 47,Delhi,customer47@example.com,2025-02-16
C0048,Customer 48,Bangalore,customer48@example.com,2025-02-17
C0049,Customer 49,Delhi,customer49@example.com,2025-02-18
C0050,Customer 50,Mumbai,customer50@example.com,2025-02-19
C0051,Customer 51,Delhi,customer51@example.com,2025-02-20
C0052,Customer 52,Delhi,customer52@example.com,2025-02-21
C0053,Customer 53,Pune,customer53@example.com,2025-02-22
C0054,Customer 54,Delhi,customer54@example.com,2025-02-23
C0055,Customer 55,Delhi,customer55@example.com,2025-02-24
C0056,Customer 56,Chennai,customer56@example.com,2025-02-25
C0057,Customer 57,Chennai,customer57@example.com,2025-02-26
C0058,Customer 58,Delhi,customer58@example.com,2025-02-27
C0059,Customer 59,Delhi,customer59@example.com,2025-02-28
C0060,Customer 60,Delhi,customer60@example.com,2025-03-01
C0061,Customer 61,Mumbai,customer61@example.com,2025-03-02
C0062,Customer 62,Chennai,customer62@example.com,2025-03-03
C0063,Customer 63,Pune,customer63@example.com,2025-03-04
C0064,Customer 64,Pune,customer64@example.com,2025-03-05
C0065,Customer 65,Delhi,customer65@example.com,2025-03-06
C0066,Customer 66,Delhi,customer66@example.com,2025-03-07
C0067,Customer 67,Pune,customer67@example.com,2025-03-08
C0068,Customer 68,Bangalore,customer68@example.com,2025-03-09
C0069,Customer 69,Mumbai,customer69@example.com,2025-03-10
C0070,Customer 70,Mumbai,customer70@example.com,2025-03-11
C0071,Customer 71,Chennai,customer71@example.com,2025-03-12
C0072,Customer 72,Pune,customer72@example.com,2025-03-13
C0073,Customer 73,Pune,customer73@example.com,2025-03-14
C0074,Customer 74,Pune,customer74@example.com,2025-03-15
C0075,Customer 75,Mumbai,customer75@example.com,2025-03-16
C0076,Customer 76,Bangalore,customer76@example.com,2025-03-17
C0077,Customer 77,Bangalore,customer77@example.com,2025-03-18
C0078,Customer 78,Pune,customer78@example.com,2025-03-19
C0079,Customer 79,Pune,customer79@example.com,2025-03-20
C0080,Customer 80,Delhi,customer80@example.com,2025-03-21
C0081,Customer 81,Delhi,customer81@example.com,2025-03-22
C0082,Customer 82,Bangalore,customer82@example.com,2025-03-23
C0083,Customer 83,Bangalore,customer83@example.com,2025-03-24
C0084,Customer 84,Mumbai,customer84@example.com,2025-03-25
C0085,Customer 85,Bangalore,customer85@example.com,2025-03-26
C0086,Customer 86,Pune,customer86@example.com,2025-03-27
C0087,Customer 87,Delhi,customer87@example.com,2025-03-28
C0088,Customer 88,Chennai,customer88@example.com,2025-03-29
C0089,Customer 89,Pune,customer89@example.com,2025-03-30
C0090,Customer 90,Chennai,customer90@example.com,2025-03-31
C0091,Customer 91,Bangalore,customer91@example.com,2025-04-01
C0092,Customer 92,Chennai,customer92@example.com,2025-04-02
C0093,Customer 93,Mumbai,customer93@example.com,2025-04-03
C0094,Customer 94,Delhi,customer94@example.com,2025-04-04
C0095,Customer 95,Bangalore,customer95@example.com,2025-04-05
C0096,Customer 96,Pune,customer96@example.com,2025-04-06
C0097,Customer 97,Pune,customer97@example.com,2025-04-07
C0098,Customer 98,Mumbai,customer98@example.com,2025-04-08
C0099,Customer 99,Chennai,customer99@example.com,2025-04-09
C0100,Customer 100,Pune,customer100@example.com,2025-04-10
C0101,Customer 101,Mumbai,customer101@example.com,2025-04-11
C0102,Customer 102,Bangalore,customer102@example.com,2025-04-12
C0103,Customer 103,Mumbai,customer103@example.com,2025-04-13
C0104,Customer 104,Bangalore,customer104@example.com,2025-04-14
C0105,Customer 105,Delhi,customer105@example.com,2025-04-15
C0106,Customer 106,Pune,customer106@example.com,2025-04-16
C0107,Customer 107,Mumbai,customer107@example.com,2025-04-17
C0108,Customer 108,Bangalore,customer108@example.com,2025-04-18
C0109,Customer 109,Bangalore,customer109@example.com,2025-04-19
C0110,Customer 110,Mumbai,customer110@example.com,2025-04-20
C0111,Customer 111,Chennai,customer111@example.com,2025-04-21
C0112,Customer 112,Pune,customer112@example.com,2025-04-22
C0113,Customer 113,Pune,customer113@example.com,2025-04-23
C0114,Customer 114,Delhi,customer114@example.com,2025-04-24
C0115,Customer 115,Chennai,customer115@example.com,2025-04-25
C0116,Customer 116,Pune,customer116@example.com,2025-04-26
C0117,Customer 117,Delhi,customer117@example.com,2025-04-27
C0118,Customer 118,Pune,customer118@example.com,2025-04-28
C0119,Customer 119,Pune,customer119@example.com,2025-04-29
C0120,Customer 120,Delhi,customer120@example.com,2025-04-30
C0121,Customer 121,Bangalore,customer121@example.com,2025-05-01
C0122,Customer 122,Delhi,customer122@example.com,2025-05-02
C0123,Customer 123,Delhi,customer123@example.com,2025-05-03
C0124,Customer 124,Bangalore,customer124@example.com,2025-05-04
C0125,Customer 125,Mumbai,customer125@example.com,2025-05-05
C0126,Customer 126,Mumbai,customer126@example.com,2025-05-06
C0127,Customer 127,Chennai,customer127@example.com,2025-05-07
C0128,Customer 128,Delhi,customer128@example.com,2025-05-08
C0129,Customer 129,Bangalore,customer129@example.com,2025-05-09
C0130,Customer 130,Delhi,customer130@example.com,2025-05-10
C0131,Customer 131,Chennai,customer131@example.com,2025-05-11
C0132,Customer 132,Mumbai,customer132@example.com,2025-05-12
C0133,Customer 133,Delhi,customer133@example.com,2025-05-13
C0134,Customer 134,Chennai,customer134@example.com,2025-05-14
C0135,Customer 135,Delhi,customer135@example.com,2025-05-15
C0136,Customer 136,Bangalore,customer136@example.com,2025-05-16
C0137,Customer 137,Mumbai,customer137@example.com,2025-05-17
C0138,Customer 138,Mumbai,customer138@example.com,2025-05-18
C0139,Customer 139,Pune,customer139@example.com,2025-05-19
C0140,Customer 140,Mumbai,customer140@example.com,2025-05-20
C0141,Customer 141,Mumbai,customer141@example.com,2025-05-21
C0142,Customer 142,Mumbai,customer142@example.com,2025-05-22
C0143,Customer 143,Chennai,customer143@example.com,2025-05-23
C0144,Customer 144,Mumbai,customer144@example.com,2025-05-24
C0145,Customer 145,Mumbai,customer145@example.com,2025-05-25
C0146,Customer 146,Delhi,customer146@example.com,2025-05-26
C0147,Customer 147,Mumbai,customer147@example.com,2025-05-27
C0148,Customer 148,Bangalore,customer148@example.com,2025-05-28
C0149,Customer 149,Delhi,customer149@example.com,2025-05-29
C0150,Customer 150,Pune,customer150@example.com,2025-05-30
C0151,Customer 151,Chennai,customer151@example.com,2025-05-31
C0152,Customer 152,Chennai,customer152@example.com,2025-06-01
C0153,Customer 153,Delhi,customer153@example.com,2025-06-02
